Date,EURUSD_IV%,GBPUSD_IV%,USDJPY_IV%
2024-12-30,,,
2024-12-31,,,
2025-01-02,,,
2025-01-03,,,
2025-01-06,,,
2025-01-07,0.6502171797933911,0.6872100545254017,0.38901780078791026
2025-01-08,0.6638326469342145,0.6886656727446713,0.25998353489337234
2025-01-09,0.6365515609136169,0.7867565207766042,0.2031219759068993
2025-01-10,0.5007459660517337,0.6557419165923738,0.15981654458066344
2025-01-13,0.5212337807104638,0.6344209495083895,0.18128536055010122
2025-01-14,0.2761270651260834,0.46046771062718217,0.23204151085354235
2025-01-15,0.37439183119511177,0.4726804012113703,0.2812955806079219
2025-01-16,0.3553698956675834,0.444903117609055,0.5719871223700008
2025-01-17,0.3494277674719774,0.4127370247718217,0.5803858601851898
2025-01-20,0.25408644445502865,0.3232352786420603,0.7239831063068483
2025-01-21,0.6564222293026793,0.7043421438819677,0.7554948899119783
2025-01-22,0.6801986950593584,0.6870813385696766,0.733672997669627
2025-01-23,0.6663240325398397,0.7054217391257477,0.603375480283456
2025-01-24,0.6668514096166334,0.7027505379131952,0.5262476357034735
2025-01-27,0.619151540299452,0.6104038847150015,0.45595653934047375
2025-01-28,0.2762249996799259,0.4012201600181737,0.41162735096396724
2025-01-29,0.2782799523470968,0.4290435581028646,0.4316135800419031
2025-01-30,0.28068868648522044,0.3892143812564223,0.35236761737865013
2025-01-31,0.3089844293148033,0.4365531307495391,0.425537409124223
2025-02-03,0.5742362518940197,0.4647546583137821,0.6457554912424387
2025-02-04,0.7931830245670766,0.79227690070727,0.5879792689040538
2025-02-05,0.8487701388424196,0.8089867703853133,0.6314949487355058
2025-02-06,0.8659072780175258,0.8116353470564148,0.7304400430600827
2025-02-07,0.8596674931788552,0.849178371969757,0.7660552449053236
2025-02-10,0.5747088923893173,0.6638092011253923,0.6193578559569316
2025-02-11,0.44561205924662584,0.38705284477861807,0.6190474991872742
2025-02-12,0.4977639406120381,0.5143067006051837,0.7558073787219711
2025-02-13,0.49641257474771006,0.49696404197104843,0.743805687262765
2025-02-14,0.571684144196698,0.581947669140761,0.7037921034888049
2025-02-17,0.31190073610358204,0.49282361488167686,0.7865098768115373
2025-02-18,0.2907972194117573,0.38693251569730713,0.8080692520376911
2025-02-19,0.3819532320046411,0.37023479560137085,0.7503401188638178
2025-02-20,0.41759106786617595,0.45162372572177845,0.434778555682824
2025-02-21,0.4523276035179929,0.37075139296673537,0.5456491104479674
2025-02-24,0.45655911038606567,0.39959518491689977,0.5697018164391683
2025-02-25,0.4589133710366018,0.40925075013310486,0.6411505489531089
2025-02-26,0.4954046643138324,0.45824978148738627,0.5746841497399872
2025-02-27,0.5114718040332139,0.401077953602263,0.5789296669540215
2025-02-28,0.5351398489700686,0.4077256564621689,0.4979777938138254
2025-03-03,0.5595187660860176,0.41161223884890896,0.5264642388232521
2025-03-04,0.6630608355849205,0.5358802492850725,0.7242632978324793
2025-03-05,0.8728042831420301,0.5894864966684289,0.6911094268294016
2025-03-06,0.9924469596372961,0.6332853850445291,0.7573490540156178
2025-03-07,0.7153709561481911,0.4184972881916057,0.6389138552501035
2025-03-10,0.648620828237115,0.359804813220984,0.47979248507331884
2025-03-11,0.8038510709564893,0.51774744294997,0.37003202073594393
2025-03-12,0.7121439089964884,0.4812032547355926,0.5130822767046636
2025-03-13,0.4725594297295217,0.3806193382666486,0.48945316233357805
2025-03-14,0.5079653438086104,0.3799914840038631,0.43532552512924827
